name,time/op (ns/op),±
Gol/16x16x500-1-8,2.96619E+07,6%
Gol/16x16x500-2-8,2.97071E+07,7%
Gol/16x16x500-3-8,2.94325E+07,4%
Gol/16x16x500-4-8,2.98779E+07,11%
Gol/16x16x500-5-8,3.02813E+07,5%
Gol/16x16x500-6-8,3.15538E+07,6%
Gol/16x16x500-7-8,3.19576E+07,4%
Gol/16x16x500-8-8,3.01279E+07,5%
Gol/16x16x500-9-8,3.36418E+07,4%
Gol/16x16x500-10-8,3.45452E+07,6%
Gol/16x16x500-11-8,3.60167E+07,24%
Gol/16x16x500-12-8,3.53484E+07,3%
Gol/16x16x500-13-8,3.44764E+07,4%
Gol/16x16x500-14-8,3.21280E+07,13%
Gol/16x16x500-15-8,3.24771E+07,6%
Gol/16x16x500-16-8,3.20056E+07,6%
Gol/64x64x500-1-8,8.55783E+07,7%
Gol/64x64x500-2-8,8.97795E+07,29%
Gol/64x64x500-3-8,8.90338E+07,8%
Gol/64x64x500-4-8,8.68308E+07,3%
Gol/64x64x500-5-8,9.83106E+07,9%
Gol/64x64x500-6-8,9.77714E+07,4%
Gol/64x64x500-7-8,8.90273E+07,5%
Gol/64x64x500-8-8,8.43138E+07,8%
Gol/64x64x500-9-8,9.19729E+07,7%
Gol/64x64x500-10-8,1.17550E+08,30%
Gol/64x64x500-11-8,1.73819E+08,50%
Gol/64x64x500-12-8,1.09884E+08,3%
Gol/64x64x500-13-8,1.69870E+08,6%
Gol/64x64x500-14-8,1.48938E+08,5%
Gol/64x64x500-15-8,1.17671E+08,4%
Gol/64x64x500-16-8,8.65781E+07,5%
